feat,importance
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_albus,5.904285701061594
K02911,6.867342347861262
K01338,6.527944334422496
K20678,6.181974284498207
K11749,5.9061782004426273
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus,6.059094980781076
K00012,6.059052540033003
K02956,5.855703076575077
K14698,5.810933831484359
K22351,5.724350618543205
K08998,5.685860956371466
K03546,5.559168780659087
K07486,5.5303555653035765
K03547,5.454959399437934
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Flavonifractor|s__Flavonifractor_plautii,5.402097663929444
K07058,5.370628824253794
K15957,5.368884147901543
K00558,5.294643182847716
K00561,5.171980855207941
K03271,5.117357878008983
K03630,5.071029841048126
K03687,4.940930560431291
K19545,4.930746062018435
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus,4.820804813745773
K21498,4.806026891354117
K11904,4.761921438999701
K06400,4.748111616344198
K02963,4.745710935072562
K20170,4.735444611675113
K00088,4.724191751825851
K07089,4.705369407161921
K04096,4.700726212337025
K20847,4.66849936720245
K00969,4.660777468634473
K01956,4.64143302314914
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Pedobacter|s__Pedobacter_unclassified,4.639035687898278
K07096,4.622768412545151
K18830,4.612355820958323
K02172,4.610888742285162
K02334,4.599568460049336
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii,4.560442425612552
K15558,4.540148839192959
K03648,4.511016914526401
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae,4.482990385222358
K02099,4.473752804100508
K00865,4.461468698502808
K01736,4.416633946814125
K06223,4.409064945056336
K01179,4.398582229730886
K13306,4.384619943089997
K02884,4.370338124712356
K02939,4.348426336967345
K01710,4.283671377583681
K17103,4.255489532668431
K03629,4.250355716533698
K01866,4.243812597240316
K07794,4.213133653203835
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_unclassified,4.188298181630659
K22247,4.186832092120307
K20968,4.164526059685153
K07451,4.159251453639167
K03427,4.151919520292716
K00986,4.127614481516498
K18788,4.112797377998496
K19118,4.111351356019434
K11383,4.106802911629409
K22522,4.095895653222209
K09955,4.091458443144797
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis,4.084204467213561
K07027,4.075578040473598
K16399,4.038769590973964
K03564,4.027097742704422
K01711,4.010220995000049
K07386,3.9975677955968014
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_salyersiae,3.9856166192948814
K03076,3.975336547897309
K14699,3.9651678803139636
K00930,3.957866902914241
K00945,3.9561101265267054
K16568,3.9447966389052422
K12906,3.9432986223150652
K18114,3.9420870862959374
K16398,3.9250288851376873
K06131,3.922734090490843
K19166,3.918859433049869
K01918,3.906587396679236
K03073,3.89561004849201
K01658,3.8927776816853954
K18570,3.8876630693848657
K06877,3.8371256747000135
K02878,3.8309760369156676
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_sp_MS_92_3,3.792255786881458
K14742,3.786243009424645
K08289,3.776988660472847
K20488,3.774319585056213
K03811,3.757597105721282
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_1_57FAA,3.755685458672806
K12063,3.7544395345575996
K06217,3.750039744223608
K01854,3.748914436552918
K00783,3.743472571488377
K00615,3.739357729027681
K13684,3.736788096744016
K07317,3.736742546672751
K00826,3.735862360398521
K03306,3.731165120585496
K01153,3.7281209276425167
K02114,3.7240629716406985
K01709,3.71109514615818
K01547,3.706025681251043
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans,3.695386186256649
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii,3.692172932225724
K00978,3.689753834958531
K13052,3.6616217645823728
K00858,3.660695152902229
K20707,3.657161323878422
K02407,3.6544192781257108
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia,3.6527212838041057
K03589,3.644007420061821
K10823,3.642567909824715
K21739,3.642273720700354
K13280,3.6370732235081906
K01515,3.6320852674107242
K09142,3.6261981339630394
K15977,3.616289239991596
K09384,3.60791212273852
K07316,3.6038214748668853
K01176,3.6036285068803355
K00046,3.5982813231676083
K18682,3.5963269217718277
K14417,3.5923142506812784
K02316,3.59133068598748
K03470,3.588139417945054
